,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
111,"Forgot About Dre","Dr. Dre",36823,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
112,"Alien Blues",Vundabar,36754,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
113,"Ni**as In Paris",JAY-Z,36606,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
114,"Praise God","Kanye West",36504,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
115,"Lucid Dreams","Juice WRLD",36482,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
116,"Mr. Brightside","The Killers",36146,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
117,Stan,Eminem,36109,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
118,"Watermelon Sugar","Harry Styles",36101,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
119,"Save Your Tears","The Weeknd",36086,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
120,"Don't Stop Believin'",Journey,36052,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
121,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",35792,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
122,Riptide,"Vance Joy",35730,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
123,"Waiting On A Miracle","Stephanie Beatriz",35696,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
124,Dior,"Pop Smoke",35553,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
125,"The Spins","Mac Miller",35333,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
126,Circles,"Post Malone",35277,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
127,Pray,"Jessie Murph",35266,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
128,"Before You Go","Lewis Capaldi",35116,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
129,HUMBLE.,"Kendrick Lamar",35064,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
130,Freaks,"Surf Curse",34932,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
131,"Fancy Like","Walker Hayes",34908,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
132,"Is There Someone Else?","The Weeknd",34717,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
133,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",34433,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
134,"When I R.I.P.",Labrinth,34242,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
135,"Money Trees","Kendrick Lamar",34128,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
136,"Dance Monkey","Tones And I",34025,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
137,"deja vu","Olivia Rodrigo",33852,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
138,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",33828,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
139,"Get Into It (Yuh)","Doja Cat",33656,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
140,"Hit 'Em Up - Single Version",2Pac,33559,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
141,"Smokin Out The Window","Bruno Mars",33465,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
142,"you broke me first","Tate McRae",33200,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
143,"Say You Won't Let Go","James Arthur",33149,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
144,"Rumors (feat. Lil Durk)","Gucci Mane",33133,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
145,Forever,Labrinth,33043,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
146,Ophelia,"The Lumineers",33007,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
147,"Gospel (with Eminem)","Dr. Dre",32884,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
148,"Die For You","The Weeknd",32869,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
149,"Daddy Issues","The Neighbourhood",32857,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
150,Classic,MKTO,32853,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
151,"3 Nights","Dominic Fike",32832,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
152,HANDSOMER,Russ,32618,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
153,"It Was A Good Day","Ice Cube",32590,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
154,"Je te laisserai des mots","Patrick Watson",32565,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
155,"Astronaut In The Ocean","Masked Wolf",32524,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
156,"Dos Oruguitas","Sebastian Yatra",32499,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
157,"20 Min","Lil Uzi Vert",32399,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
158,"Space Song","Beach House",32363,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
159,"All of Me","John Legend",32244,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
160,"All Girls Are The Same","Juice WRLD",32011,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
161,"Out of Time","The Weeknd",31899,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
162,"Mr. Rager","Kid Cudi",31864,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
163,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",31763,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
164,"The Night We Met","Lord Huron",31609,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
165,"Man in the Mirror","A Boogie Wit da Hoodie",31512,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
166,"The Business",Tiësto,31263,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
167,"Still Don't Know My Name",Labrinth,31058,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
168,MAMIII,"Becky G",31048,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
169,"Ric Flair Drip (with Metro Boomin)",Offset,30857,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
170,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",30786,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
171,"Gangsta's Paradise",Coolio,30758,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
172,Yellow,Coldplay,30757,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
173,"NEW MAGIC WAND","Tyler, The Creator",30617,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
174,"When I’m Gone (with Katy Perry)",Alesso,30495,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
175,"Scared Money (feat. J. Cole and Moneybagg Yo)",YG,30470,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
176,"lovely (with Khalid)","Billie Eilish",30376,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
177,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,30242,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
178,"One Dance",Drake,30232,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
179,"Take Me To Church",Hozier,30004,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
180,"Come & Go (with Marshmello)","Juice WRLD",29993,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
181,"CTRL + ALT + DEL",Rêve,29981,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
182,"What A Time (feat. Niall Horan)","Julia Michaels",29938,https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT
183,"Love Sosa","Chief Keef",29860,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
184,Redbone,"Childish Gambino",29773,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
185,Shallow,"Lady Gaga",29703,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
186,"Roses - Imanbek Remix","SAINt JHN",29684,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
187,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",29635,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
188,"Don't Start Now","Dua Lipa",29603,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
189,"Smells Like Teen Spirit - Remastered",Nirvana,29576,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
190,"Me or Sum (feat. Future & Lil Baby)","Nardo Wick",29514,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
191,"What You Know Bout Love","Pop Smoke",29472,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
192,"I AM WOMAN","Emmy Meli",29454,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
193,"Calling My Phone","Lil Tjay",29447,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
194,"Girls Want Girls (with Lil Baby)",Drake,29418,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
195,"For Tonight",Giveon,29398,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
196,Believer,"Imagine Dragons",29394,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
197,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",29372,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
198,Playboy,Jx.Zero,29190,https://open.spotify.com/track/45GDh5cZcRVOAyQqZWxiUt
199,"Worst Day",Future,29176,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p
200,"Lil Bit (feat. Florida Georgia Line)",Nelly,29170,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
