,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
17,"Still D.R.E.","Dr. Dre",79634,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
18,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",79585,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
19,"City of Gods","Fivio Foreign",76490,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
20,"The Motto",Tiësto,75512,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
21,"Super Gremlin","Kodak Black",74911,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
22,Lost,"Frank Ocean",73543,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
23,"good 4 u","Olivia Rodrigo",72839,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,"AHHH HA","Lil Durk",69949,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
25,"Where Are You Now","Lost Frequencies",69099,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
26,"Numb Little Bug","Em Beihold",67526,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
27,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,67106,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
28,Woman,"Doja Cat",66979,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
29,"I Love You So","The Walters",66709,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
30,"Fingers Crossed","Lauren Spencer-Smith",64629,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
31,"Light Switch","Charlie Puth",64144,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
32,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,63842,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
33,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,63419,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
34,"edamame (feat. Rich Brian)",bbno$,61029,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
35,"One Right Now (with The Weeknd)","Post Malone",60371,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
36,Infinity,"Jaymes Young",59656,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
37,"Do It To It",ACRAZE,58272,https://open.spotify.com/track/20on25jryn53hWghthWWW3
38,"Mount Everest",Labrinth,57898,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
39,Softcore,"The Neighbourhood",57152,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
40,"The Family Madrigal","Stephanie Beatriz",56931,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
41,"Without Me",Eminem,56419,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
42,"Kiss Me More (feat. SZA)","Doja Cat",56367,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
43,"Need to Know","Doja Cat",55881,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
44,"The Real Slim Shady",Eminem,55675,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
45,"Sweater Weather","The Neighbourhood",55386,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
46,"MIDDLE OF THE NIGHT","Elley Duhé",55061,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
47,"Levitating (feat. DaBaby)","Dua Lipa",54288,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
48,Pepas,Farruko,54143,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
49,"Banking On Me",Gunna,53616,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
50,"The Next Episode","Dr. Dre",53086,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
51,Cigarettes,"Juice WRLD",53044,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
52,"Oh My God",Adele,52235,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
53,2055,"Sleepy Hallow",52144,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
54,"Blinding Lights","The Weeknd",52115,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
55,"In Da Club","50 Cent",52066,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
56,"No Role Modelz","J. Cole",50929,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
57,Dandelions,"Ruth B.",50291,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
58,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",49786,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
59,"My Universe",Coldplay,49129,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
60,"'Till I Collapse",Eminem,48531,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
61,"MONTERO (Call Me By Your Name)","Lil Nas X",48034,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
62,"family ties (with Kendrick Lamar)","Baby Keem",48029,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
63,"love nwantiti (ah ah ah)",CKay,47458,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
64,"Dark Red","Steve Lacy",47362,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
65,"TO THE MOON","Jnr Choi",46886,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
66,Beggin',Måneskin,46679,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
67,traitor,"Olivia Rodrigo",46210,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
68,Notion,"The Rare Occasions",46072,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
69,RAPSTAR,"Polo G",45378,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
70,"Way 2 Sexy (with Future & Young Thug)",Drake,45230,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
71,"drivers license","Olivia Rodrigo",44858,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
72,"All For Us - from the HBO Original Series Euphoria",Labrinth,44808,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
73,High,"The Chainsmokers",44717,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
74,"Someone You Loved","Lewis Capaldi",44694,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
75,"What Else Can I Do?","Diane Guerrero",44666,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44434,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,"Happier Than Ever","Billie Eilish",43786,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
78,"Fair Trade (with Travis Scott)",Drake,43698,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
79,Sacrifice,"The Weeknd",43636,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
80,"Meet Me At Our Spot","THE ANXIETY",43567,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
81,Toxic,BoyWithUke,43481,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
82,"Mood (feat. iann dior)",24kGoldn,43398,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
83,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",43170,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
84,505,"Arctic Monkeys",42880,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
85,"P power (feat. Drake)",Gunna,42327,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
86,Formula,Labrinth,42256,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
87,"Do We Have A Problem?","Nicki Minaj",42169,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
88,"Monëy so big",Yeat,42103,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
89,Heartless,"Kanye West",42076,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
90,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",41797,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
91,"I Hate U",SZA,40963,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
92,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",40857,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
93,"You Right","Doja Cat",40842,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
94,Bussin,"Nicki Minaj",40620,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
95,"Big Energy",Latto,40449,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
96,"Godzilla (feat. Juice WRLD)",Eminem,40262,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
97,"Ni**as In Paris",JAY-Z,39660,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
98,"Praise God","Kanye West",39520,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
99,"Pursuit Of Happiness (Nightmare)","Kid Cudi",39468,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
100,"California Love - Original Version",2Pac,39282,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
101,"Wants and Needs (feat. Lil Baby)",Drake,39184,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
102,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,39142,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
103,"Dreams - 2004 Remaster","Fleetwood Mac",39092,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
104,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",38952,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
105,"Ginseng Strip 2002","Yung Lean",38890,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
106,Sky,"Playboi Carti",38768,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
107,"Martin & Gina","Polo G",38710,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
108,Dior,"Pop Smoke",38483,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
109,"Buy Dirt","Jordan Davis",37871,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
110,"Watermelon Sugar","Harry Styles",37733,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
111,"Don't Stop Believin'",Journey,37569,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
112,"It'll Be Okay","Shawn Mendes",37342,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
113,"Mr. Brightside","The Killers",37117,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
114,"Lucid Dreams","Juice WRLD",36955,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
115,Circles,"Post Malone",36881,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
116,"Hrs and Hrs","Muni Long",36727,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
117,"Fancy Like","Walker Hayes",36678,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
118,"The Spins","Mac Miller",36676,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
119,"Save Your Tears","The Weeknd",36553,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
120,Riptide,"Vance Joy",36549,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
121,"Forgot About Dre","Dr. Dre",36476,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
122,"Dance Monkey","Tones And I",36426,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
123,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",36424,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
124,HUMBLE.,"Kendrick Lamar",36421,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
125,"Alien Blues",Vundabar,36281,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
126,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",35926,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
127,"Waiting On A Miracle","Stephanie Beatriz",35891,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
128,Stan,Eminem,35689,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
129,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",35165,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
130,"Don't Play That","King Von",35151,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
131,"Before You Go","Lewis Capaldi",35137,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
132,Classic,MKTO,35115,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
133,"deja vu","Olivia Rodrigo",35066,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
134,Swim,"Chase Atlantic",35046,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
135,"Get Into It (Yuh)","Doja Cat",34795,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
136,"Money Trees","Kendrick Lamar",34604,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
137,"Love Sosa","Chief Keef",34343,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
138,"Astronaut In The Ocean","Masked Wolf",34321,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
139,Freaks,"Surf Curse",34017,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
140,"Is There Someone Else?","The Weeknd",33997,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
141,"Hit 'Em Up - Single Version",2Pac,33991,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
142,"you broke me first","Tate McRae",33943,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
143,"Say You Won't Let Go","James Arthur",33745,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
144,HANDSOMER,Russ,33611,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
145,"Smokin Out The Window","Bruno Mars",33555,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
146,Ophelia,"The Lumineers",33520,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
147,"The Business",Tiësto,33412,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
148,"Rumors (feat. Lil Durk)","Gucci Mane",33407,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
149,"20 Min","Lil Uzi Vert",33319,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
150,"3 Nights","Dominic Fike",33290,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
151,"Daddy Issues","The Neighbourhood",33207,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
152,"When I R.I.P.",Labrinth,33197,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
153,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",33005,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
154,"Die For You","The Weeknd",32992,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
155,Pray,"Jessie Murph",32747,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
156,"All of Me","John Legend",32644,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
157,"It Was A Good Day","Ice Cube",32547,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
158,"All Girls Are The Same","Juice WRLD",32243,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
159,"Dos Oruguitas","Sebastian Yatra",32180,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
160,"When I’m Gone (with Katy Perry)",Alesso,32164,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
161,"Gangsta's Paradise",Coolio,32100,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
162,MAMIII,"Becky G",32061,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
163,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",31923,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
164,"Don't Start Now","Dua Lipa",31899,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
165,"Out of Time","The Weeknd",31791,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
166,"Ric Flair Drip (with Metro Boomin)",Offset,31781,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
167,"NEW MAGIC WAND","Tyler, The Creator",31741,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
168,Revenge,XXXTENTACION,31682,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
169,"Gospel (with Eminem)","Dr. Dre",31679,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
170,Forever,Labrinth,31653,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
171,"Roses - Imanbek Remix","SAINt JHN",31642,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
172,"Man in the Mirror","A Boogie Wit da Hoodie",31631,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
173,"What You Know Bout Love","Pop Smoke",31546,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
174,Yellow,Coldplay,31508,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
175,"Space Song","Beach House",31491,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
176,"Mr. Rager","Kid Cudi",31292,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
177,"One Dance",Drake,31258,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
178,"Je te laisserai des mots","Patrick Watson",31204,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
179,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",31134,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
180,"Still Don't Know My Name",Labrinth,31133,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
181,Redbone,"Childish Gambino",31071,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
182,"The Night We Met","Lord Huron",31029,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
183,"CTRL + ALT + DEL",Rêve,30990,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
184,"Scared Money (feat. J. Cole and Moneybagg Yo)",YG,30941,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
185,"Come & Go (with Marshmello)","Juice WRLD",30939,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
186,"All Falls Down","Kanye West",30776,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9
187,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",30772,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
188,Shallow,"Lady Gaga",30747,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
189,"Lil Bit (feat. Florida Georgia Line)",Nelly,30675,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
190,"Take Me To Church",Hozier,30635,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
191,"Girls Want Girls (with Lil Baby)",Drake,30624,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
192,"Smells Like Teen Spirit - Remastered",Nirvana,30610,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
193,"XO Tour Llif3","Lil Uzi Vert",30596,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
194,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",30575,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
195,Believer,"Imagine Dragons",30374,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
196,"Calling My Phone","Lil Tjay",30167,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
197,Acapulco,"Jason Derulo",30144,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
198,goosebumps,"Travis Scott",30136,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
199,"lovely (with Khalid)","Billie Eilish",30127,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
200,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",30100,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
