,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
31,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,64661,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
32,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,64356,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
33,"Light Switch","Charlie Puth",64041,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
34,"edamame (feat. Rich Brian)",bbno$,63320,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
35,"Fingers Crossed","Lauren Spencer-Smith",62707,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
36,"One Right Now (with The Weeknd)","Post Malone",61654,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
37,Infinity,"Jaymes Young",60620,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
38,"Do It To It",ACRAZE,60047,https://open.spotify.com/track/20on25jryn53hWghthWWW3
39,"Without Me",Eminem,58845,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
40,Pepas,Farruko,58478,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
41,"The Family Madrigal","Stephanie Beatriz",58465,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
42,"Mount Everest",Labrinth,58068,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
43,"Kiss Me More (feat. SZA)","Doja Cat",57832,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
44,"Need to Know","Doja Cat",57451,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
45,"Levitating (feat. DaBaby)","Dua Lipa",57213,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
46,"MIDDLE OF THE NIGHT","Elley Duhé",56803,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
47,"The Real Slim Shady",Eminem,56702,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
48,Softcore,"The Neighbourhood",55650,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
49,"Sweater Weather","The Neighbourhood",55297,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
50,"The Next Episode","Dr. Dre",54384,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
51,"Blinding Lights","The Weeknd",53652,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
52,"In Da Club","50 Cent",53577,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
53,2055,"Sleepy Hallow",52437,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
54,"Oh My God",Adele,51564,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
55,Cigarettes,"Juice WRLD",51177,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
56,"No Role Modelz","J. Cole",50547,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
57,"Bois Lie","Avril Lavigne",50350,https://open.spotify.com/track/14td7C4K7BX8jsSYtgtQqy
58,"MONTERO (Call Me By Your Name)","Lil Nas X",50297,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
59,"Hard Feelings","Alicia Moffet",49602,https://open.spotify.com/track/7juiva3TJwb9VmCxt17MSd
60,"TO THE MOON","Jnr Choi",49572,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
61,"'Till I Collapse",Eminem,49328,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
62,"My Universe",Coldplay,49288,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
63,Dandelions,"Ruth B.",49222,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
64,"love nwantiti (ah ah ah)",CKay,48957,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
65,Beggin',Måneskin,48742,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
66,"Dancing Feet (feat. DNCE)",Kygo,47646,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
67,"family ties (with Kendrick Lamar)","Baby Keem",47319,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
68,"Dark Red","Steve Lacy",47280,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
69,"Banking On Me",Gunna,46619,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
70,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",46253,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
71,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",46217,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
72,"What Else Can I Do?","Diane Guerrero",46012,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
73,"Someone You Loved","Lewis Capaldi",45729,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,"drivers license","Olivia Rodrigo",45642,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
75,Notion,"The Rare Occasions",45558,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
76,RAPSTAR,"Polo G",45177,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
77,traitor,"Olivia Rodrigo",45159,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
78,"Way 2 Sexy (with Future & Young Thug)",Drake,44806,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
79,"Mood (feat. iann dior)",24kGoldn,44804,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
80,"All For Us - from the HBO Original Series Euphoria",Labrinth,44608,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
81,High,"The Chainsmokers",43905,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
82,Toxic,BoyWithUke,43697,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
83,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",43612,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
84,"Monëy so big",Yeat,43355,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
85,"Meet Me At Our Spot","THE ANXIETY",43291,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
86,"Big Energy",Latto,43153,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
87,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",43022,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
88,"Fair Trade (with Travis Scott)",Drake,42777,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
89,Sacrifice,"The Weeknd",42631,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
90,505,"Arctic Monkeys",42564,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
91,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",42472,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
92,Heartless,"Kanye West",42307,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
93,"Happier Than Ever","Billie Eilish",41971,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
94,"You Right","Doja Cat",41580,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
95,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,41118,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
96,"P power (feat. Drake)",Gunna,40997,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
97,"Dreams - 2004 Remaster","Fleetwood Mac",40870,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
98,"Godzilla (feat. Juice WRLD)",Eminem,40823,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
99,Formula,Labrinth,40512,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
100,"Love Sosa","Chief Keef",40483,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
101,"Ni**as In Paris",JAY-Z,40419,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
102,"I Hate U",SZA,40356,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
103,"California Love - Original Version",2Pac,40198,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
104,"Don't Stop Believin'",Journey,39869,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
105,"Watermelon Sugar","Harry Styles",39578,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
106,"Martin & Gina","Polo G",39465,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
107,"Fancy Like","Walker Hayes",39403,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
108,"Praise God","Kanye West",39257,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
109,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",39236,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
110,"Save Your Tears","The Weeknd",38988,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
111,"Ginseng Strip 2002","Yung Lean",38977,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
112,"Buy Dirt","Jordan Davis",38830,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
113,"Dance Monkey","Tones And I",38794,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
114,"Pursuit Of Happiness (Nightmare)","Kid Cudi",38753,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
115,Bussin,"Nicki Minaj",38733,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
116,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",38700,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
117,Dior,"Pop Smoke",38517,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
118,Circles,"Post Malone",38349,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
119,"Wants and Needs (feat. Lil Baby)",Drake,38296,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
120,"Mr. Brightside","The Killers",38160,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
121,Sky,"Playboi Carti",38127,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
122,Riptide,"Vance Joy",38019,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
123,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,37862,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
124,"The Spins","Mac Miller",37812,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
125,"West Coast",OneRepublic,37787,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
126,"Forgot About Dre","Dr. Dre",37349,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
127,"Lucid Dreams","Juice WRLD",37286,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
128,"Do We Have A Problem?","Nicki Minaj",36986,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
129,HUMBLE.,"Kendrick Lamar",36458,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
130,Classic,MKTO,36439,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
131,"Waiting On A Miracle","Stephanie Beatriz",36315,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
132,Stan,Eminem,36292,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
133,MAMIII,"Becky G",36185,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
134,"Before You Go","Lewis Capaldi",35843,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
135,"Astronaut In The Ocean","Masked Wolf",35759,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
136,"Hrs and Hrs","Muni Long",35686,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
137,"Alien Blues",Vundabar,35509,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
138,"Get Into It (Yuh)","Doja Cat",35301,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
139,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",35291,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
140,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",35260,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
141,"The Business",Tiësto,35133,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
142,"deja vu","Olivia Rodrigo",34656,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
143,"Money Trees","Kendrick Lamar",34560,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
144,"you broke me first","Tate McRae",34301,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
145,Freaks,"Surf Curse",34150,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
146,"Say You Won't Let Go","James Arthur",34064,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
147,Revenge,XXXTENTACION,33988,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
148,Ophelia,"The Lumineers",33885,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
149,"Gospel (with Eminem)","Dr. Dre",33813,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
150,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",33676,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
151,"3 Nights","Dominic Fike",33629,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
152,"Hit 'Em Up - Single Version",2Pac,33571,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
153,HANDSOMER,Russ,33550,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
154,Swim,"Chase Atlantic",33392,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
155,"Don't Start Now","Dua Lipa",33382,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
156,"Don't Play That","King Von",33352,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
157,"Gangsta's Paradise",Coolio,33326,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
158,"20 Min","Lil Uzi Vert",33296,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
159,"Roses - Imanbek Remix","SAINt JHN",33128,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
160,"Is There Someone Else?","The Weeknd",33128,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
161,"Dos Oruguitas","Sebastian Yatra",33111,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
162,"It Was A Good Day","Ice Cube",33082,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
163,"All of Me","John Legend",32989,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
164,"It'll Be Okay","Shawn Mendes",32844,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
165,"Rumors (feat. Lil Durk)","Gucci Mane",32670,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
166,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",32620,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
167,"Die For You","The Weeknd",32591,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
168,Shallow,"Lady Gaga",32583,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
169,"Lil Bit (feat. Florida Georgia Line)",Nelly,32523,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
170,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",32370,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
171,"Ric Flair Drip (with Metro Boomin)",Offset,32133,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
172,"One Dance",Drake,32019,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
173,"What You Know Bout Love","Pop Smoke",31912,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
174,"Daddy Issues","The Neighbourhood",31827,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
175,"When I’m Gone (with Katy Perry)",Alesso,31825,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
176,Pray,"Jessie Murph",31805,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
177,King,"Florence + The Machine",31755,https://open.spotify.com/track/1VSngtLdJhrlfHkLxTyOXK
178,"When I R.I.P.",Labrinth,31731,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
179,Yellow,Coldplay,31623,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
180,Believer,"Imagine Dragons",31592,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
181,"All Girls Are The Same","Juice WRLD",31459,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
182,"Love It When You Hate Me","Avril Lavigne",31419,https://open.spotify.com/track/2QzfyN4TnYZd1IGd2D2NLy
183,"CTRL + ALT + DEL",Rêve,31375,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
184,"Come & Go (with Marshmello)","Juice WRLD",31374,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
185,"Scared Money (feat. J. Cole and Moneybagg Yo)",YG,31280,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
186,"Take Me To Church",Hozier,31273,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
187,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",31264,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
188,Acapulco,"Jason Derulo",31192,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
189,"Bite Me","Avril Lavigne",31054,https://open.spotify.com/track/3jEqgCYhahj6Ab5o80uhnO
190,Redbone,"Childish Gambino",31042,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
191,"Bohemian Rhapsody - Remastered 2011",Queen,31008,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
192,Lullaby,"Alicia Moffet",31007,https://open.spotify.com/track/4YMuvI6faoxGj5bJur1dpy
193,"Space Song","Beach House",30963,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
194,"Smells Like Teen Spirit - Remastered",Nirvana,30901,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
195,"Counting Stars",OneRepublic,30845,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
196,"The Night We Met","Lord Huron",30819,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
197,"Ms. Jackson",Outkast,30742,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
198,goosebumps,"Travis Scott",30739,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
199,"Still Don't Know My Name",Labrinth,30712,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
200,"All Falls Down","Kanye West",30702,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9
