,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
27,"I Love You So","The Walters",64800,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
28,"The Family Madrigal","Stephanie Beatriz",63955,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
29,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,63357,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
30,"Light Switch","Charlie Puth",63275,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
31,"Numb Little Bug","Em Beihold",61954,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
32,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,60585,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
33,"Fingers Crossed","Lauren Spencer-Smith",59383,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
34,"edamame (feat. Rich Brian)",bbno$,59277,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
35,Infinity,"Jaymes Young",58985,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
36,"The Next Episode","Dr. Dre",57663,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
37,"One Right Now (with The Weeknd)","Post Malone",57038,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
38,"Without Me",Eminem,56889,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
39,"The Real Slim Shady",Eminem,56553,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
40,"In Da Club","50 Cent",55550,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
41,"Do It To It",ACRAZE,55472,https://open.spotify.com/track/20on25jryn53hWghthWWW3
42,Pepas,Farruko,54275,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
43,"Kiss Me More (feat. SZA)","Doja Cat",54076,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
44,Softcore,"The Neighbourhood",53940,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
45,"Mount Everest",Labrinth,53781,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
46,"Need to Know","Doja Cat",53634,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
47,Cigarettes,"Juice WRLD",52733,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
48,"Sweater Weather","The Neighbourhood",52385,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
49,"Banking On Me",Gunna,51656,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
50,"Levitating (feat. DaBaby)","Dua Lipa",51192,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
51,"Oh My God",Adele,50866,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
52,"MIDDLE OF THE NIGHT","Elley Duhé",50650,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
53,"Blinding Lights","The Weeknd",50216,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
54,"What Else Can I Do?","Diane Guerrero",50013,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
55,2055,"Sleepy Hallow",49537,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
56,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",48644,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
57,"love nwantiti (ah ah ah)",CKay,47838,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
58,"MONTERO (Call Me By Your Name)","Lil Nas X",47188,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
59,"Dark Red","Steve Lacy",46686,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
60,Dandelions,"Ruth B.",46549,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
61,"'Till I Collapse",Eminem,46365,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
62,"My Universe",Coldplay,46337,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
63,"TO THE MOON","Jnr Choi",46307,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",45533,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
65,Beggin',Måneskin,45211,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
66,"No Role Modelz","J. Cole",45004,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
67,Toxic,BoyWithUke,44081,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
68,Notion,"The Rare Occasions",43578,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
69,traitor,"Olivia Rodrigo",43248,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
70,"family ties (with Kendrick Lamar)","Baby Keem",43073,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
71,"drivers license","Olivia Rodrigo",42649,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
72,"Way 2 Sexy (with Future & Young Thug)",Drake,42484,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
73,Sacrifice,"The Weeknd",42251,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
74,"Someone You Loved","Lewis Capaldi",42220,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
75,RAPSTAR,"Polo G",41758,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
76,"All For Us - from the HBO Original Series Euphoria",Labrinth,41678,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
77,"Mood (feat. iann dior)",24kGoldn,41654,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
78,High,"The Chainsmokers",41419,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
79,"Meet Me At Our Spot","THE ANXIETY",40823,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
80,"California Love - Original Version",2Pac,40720,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
81,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",40439,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
82,"Do We Have A Problem?","Nicki Minaj",40411,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
83,"Happier Than Ever","Billie Eilish",40241,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
84,"Dreams - 2004 Remaster","Fleetwood Mac",40206,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
85,505,"Arctic Monkeys",40079,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
86,"P power (feat. Drake)",Gunna,40035,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
87,"Waiting On A Miracle","Stephanie Beatriz",39797,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
88,"Fair Trade (with Travis Scott)",Drake,39749,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
89,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",39688,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
90,Heartless,"Kanye West",39175,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
91,"You Right","Doja Cat",39010,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
92,Bussin,"Nicki Minaj",38955,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
93,Formula,Labrinth,38875,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
94,"Monëy so big",Yeat,38843,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
95,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",38770,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
96,"Ginseng Strip 2002","Yung Lean",38735,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
97,"Godzilla (feat. Juice WRLD)",Eminem,38590,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
98,"Don't Stop Believin'",Journey,38415,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
99,"I Hate U",SZA,38134,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
100,"Pursuit Of Happiness (Nightmare)","Kid Cudi",37661,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
101,"Forgot About Dre","Dr. Dre",37204,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
102,"Buy Dirt","Jordan Davis",36865,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
103,"Big Energy",Latto,36282,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
104,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,36123,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
105,"Hrs and Hrs","Muni Long",36030,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
106,"Lucid Dreams","Juice WRLD",35773,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
107,"Dance Monkey","Tones And I",35760,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
108,"Ni**as In Paris",JAY-Z,35743,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
109,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",35728,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
110,"Dos Oruguitas","Sebastian Yatra",35703,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
111,Sky,"Playboi Carti",35585,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
112,Riptide,"Vance Joy",35522,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
113,"Mr. Brightside","The Killers",35357,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
114,"Fancy Like","Walker Hayes",35355,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
115,"Save Your Tears","The Weeknd",35142,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
116,"Martin & Gina","Polo G",34826,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
117,Circles,"Post Malone",34743,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
118,"Watermelon Sugar","Harry Styles",34702,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
119,Swim,"Chase Atlantic",34555,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
120,"Alien Blues",Vundabar,34434,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
121,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",34328,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
122,"It'll Be Okay","Shawn Mendes",34192,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
123,"Astronaut In The Ocean","Masked Wolf",34181,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
124,Stan,Eminem,34087,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
125,"The Spins","Mac Miller",34080,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
126,"Wants and Needs (feat. Lil Baby)",Drake,34013,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
127,HUMBLE.,"Kendrick Lamar",33876,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
128,"Don't Play That","King Von",33806,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
129,"Get Into It (Yuh)","Doja Cat",33765,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
130,"Praise God","Kanye West",33665,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
131,Freaks,"Surf Curse",33555,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
132,Dior,"Pop Smoke",33483,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
133,Pray,"Jessie Murph",33208,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
134,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",32937,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
135,"Before You Go","Lewis Capaldi",32762,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
136,"deja vu","Olivia Rodrigo",32564,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
137,"Smokin Out The Window","Bruno Mars",32487,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
138,Ophelia,"The Lumineers",32185,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
139,"Is There Someone Else?","The Weeknd",32078,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
140,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",31989,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
141,"When I R.I.P.",Labrinth,31988,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
142,Classic,MKTO,31979,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
143,"Gospel (with Eminem)","Dr. Dre",31815,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
144,"All of Me","John Legend",31797,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
145,"Money Trees","Kendrick Lamar",31593,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
146,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",31527,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
147,MAMIII,"Becky G",31521,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
148,"Rumors (feat. Lil Durk)","Gucci Mane",31476,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
149,"Daddy Issues","The Neighbourhood",31364,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
150,"Gangsta's Paradise",Coolio,31351,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
151,"you broke me first","Tate McRae",31330,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
152,"All Of You","Stephanie Beatriz",31327,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
153,"The Business",Tiësto,31158,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
154,"It Was A Good Day","Ice Cube",31066,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
155,"All Girls Are The Same","Juice WRLD",30904,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
156,"Say You Won't Let Go","James Arthur",30803,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
157,"3 Nights","Dominic Fike",30766,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
158,"Worst Day",Future,30543,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p
159,"Die For You","The Weeknd",30521,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
160,"Hit 'Em Up - Single Version",2Pac,30516,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
161,Believer,"Imagine Dragons",30491,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
162,"20 Min","Lil Uzi Vert",30384,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
163,Shallow,"Lady Gaga",30291,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
164,HANDSOMER,Russ,30203,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
165,"Space Song","Beach House",30180,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
166,"Je te laisserai des mots","Patrick Watson",30070,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
167,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",30001,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
168,"Roses - Imanbek Remix","SAINt JHN",29991,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
169,"Out of Time","The Weeknd",29956,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
170,"Come & Go (with Marshmello)","Juice WRLD",29902,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
171,"Scared Money (feat. J. Cole and Moneybagg Yo)",YG,29848,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
172,Forever,Labrinth,29801,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
173,"One Dance",Drake,29738,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
174,"Mr. Rager","Kid Cudi",29711,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
175,"When I’m Gone (with Katy Perry)",Alesso,29611,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
176,"Don't Start Now","Dua Lipa",29497,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
177,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",29486,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
178,Yellow,Coldplay,29483,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
179,"CTRL + ALT + DEL",Rêve,29338,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
180,"Hotel California - 2013 Remaster",Eagles,29302,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
181,"The Night We Met","Lord Huron",29235,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
182,"Tennessee Whiskey","Chris Stapleton",29183,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
183,"Bohemian Rhapsody - Remastered 2011",Queen,29029,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
184,"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg",29013,https://open.spotify.com/track/6YbhspuOar1D9WSSnfe7ds
185,"lovely (with Khalid)","Billie Eilish",28906,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
186,"Ric Flair Drip (with Metro Boomin)",Offset,28865,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
187,"Man in the Mirror","A Boogie Wit da Hoodie",28791,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
188,"What You Know Bout Love","Pop Smoke",28788,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
189,"Smells Like Teen Spirit - Remastered",Nirvana,28734,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
190,"Counting Stars",OneRepublic,28674,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
191,"Lil Bit (feat. Florida Georgia Line)",Nelly,28642,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
192,"Ms. Jackson",Outkast,28602,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
193,"Elon Musk (feat. Gunna)",DDG,28577,https://open.spotify.com/track/6g6FfeozIEkVUXecpSq16Q
194,"Take Me To Church",Hozier,28546,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
195,"Still Don't Know My Name",Labrinth,28445,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
196,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,28441,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
197,"Girls Want Girls (with Lil Baby)",Drake,28190,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
198,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",28072,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
199,Promiscuous,"Nelly Furtado",28035,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
200,"NEW MAGIC WAND","Tyler, The Creator",27946,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
